Problem ID,Problem Name,Acceptance Rate,Difficulty
1295,Find Numbers with Even Number of Digits,77.5,Easy
1296,Divide Array in Sets of K Consecutive Numbers,58.5,Medium
1297,Maximum Number of Occurrences of a Substring,52.3,Medium
1298,Maximum Candies You Can Get from Boxes,57.8,Hard
1299,Replace Elements with Greatest Element on Right Side,71.3,Easy
1300,Sum of Mutated Array Closest to Target,44.9,Medium
1301,Number of Paths with Max Score,40.0,Hard
1302,Deepest Leaves Sum,86.3,Medium
1303,Find the Team Size,89.6,Easy
1304,Find N Unique Integers Sum up to Zero,76.2,Easy
1305,All Elements in Two Binary Search Trees,79.9,Medium
1306,Jump Game III,65.4,Medium
1307,Verbal Arithmetic Puzzle,34.6,Hard
1308,Running Total for Different Genders,86.3,Medium
1309,Decrypt String from Alphabet to Integer Mapping,79.9,Easy
1310,XOR Queries of a Subarray,78.8,Medium
1311,Get Watched Videos by Your Friends,48.0,Medium
1312,Minimum Insertion Steps to Make a String Palindrome,71.5,Hard
1313,Decompress Run-Length Encoded List,85.9,Easy
1314,Matrix Block Sum,75.7,Medium
1315,Sum of Nodes with Even-Valued Grandparent,85.6,Medium
1316,Distinct Echo Substrings,51.1,Hard
1317,Convert Integer to the Sum of Two No-Zero Integers,54.0,Easy
1318,Minimum Flips to Make a OR b Equal to c,71.2,Medium
1319,Number of Operations to Make Network Connected,63.5,Medium
1320,Minimum Distance to Type a Word Using Two Fingers,59.0,Hard
1321,Restaurant Growth,53.7,Medium
1322,Ads Performance,59.4,Easy
1323,Maximum 69 Number,82.5,Easy
1324,Print Words Vertically,64.9,Medium
1325,Delete Leaves With a Given Value,77.4,Medium
1326,Minimum Number of Taps to Open to Water a Garden,50.7,Hard
1327,List the Products Ordered in a Period,71.4,Easy
1328,Break a Palindrome,51.7,Medium
1329,Sort the Matrix Diagonally,82.9,Medium
1330,Reverse Subarray To Maximize Array Value,41.9,Hard
1331,Rank Transform of an Array,70.5,Easy
1332,Remove Palindromic Subsequences,76.5,Easy
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",61.9,Medium
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,68.6,Medium
1335,Minimum Difficulty of a Job Schedule,59.6,Hard
1336,Number of Transactions per Visit,47.7,Hard
1337,The K Weakest Rows in a Matrix,73.7,Easy
1338,Reduce Array Size to The Half,69.0,Medium
1339,Maximum Product of Splitted Binary Tree,47.7,Medium
1340,Jump Game V,63.7,Hard
1341,Movie Rating,40.6,Medium
1342,Number of Steps to Reduce a Number to Zero,85.4,Easy
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,69.1,Medium
1344,Angle Between Hands of a Clock,64.0,Medium
1345,Jump Game IV,46.1,Hard
1346,Check If N and Its Double Exist,37.5,Easy
1347,Minimum Number of Steps to Make Two Strings Anagram,82.1,Medium
1348,Tweet Counts Per Frequency,44.8,Medium
1349,Maximum Students Taking Exam,51.2,Hard
1350,Students With Invalid Departments,89.7,Easy
1351,Count Negative Numbers in a Sorted Matrix,77.5,Easy
1352,Product of the Last K Numbers,52.0,Medium
1353,Maximum Number of Events That Can Be Attended,32.5,Medium
1354,Construct Target Array With Multiple Sums,36.2,Hard
1355,Activity Participants,72.3,Medium
1356,Sort Integers by The Number of 1 Bits,78.4,Easy
1357,Apply Discount Every n Orders,71.6,Medium
1358,Number of Substrings Containing All Three Characters,68.0,Medium
1359,Count All Valid Pickup and Delivery Options,64.9,Hard
1360,Number of Days Between Two Dates,50.7,Easy
1361,Validate Binary Tree Nodes,43.8,Medium
1362,Closest Divisors,61.2,Medium
1363,Largest Multiple of Three,32.7,Hard
1364,Number of Trusted Contacts of a Customer,74.9,Medium
1365,How Many Numbers Are Smaller Than the Current Number,87.0,Easy
1366,Rank Teams by Votes,58.7,Medium
1367,Linked List in Binary Tree,52.1,Medium
1368,Minimum Cost to Make at Least One Valid Path in a Grid,62.5,Hard
1369,Get the Second Most Recent Activity,67.6,Hard
1370,Increasing Decreasing String,76.7,Easy
1371,Find the Longest Substring Containing Vowels in Even Counts,76.3,Medium
1372,Longest ZigZag Path in a Binary Tree,65.9,Medium
1373,Maximum Sum BST in Binary Tree,42.2,Hard
1374,Generate a String With Characters That Have Odd Counts,78.1,Easy
1375,Number of Times Binary String Is Prefix-Aligned,65.8,Medium
1376,Time Needed to Inform All Employees,60.1,Medium
1377,Frog Position After T Seconds,35.6,Hard
1378,Replace Employee ID With The Unique Identifier,83.6,Easy
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,85.9,Easy
1380,Lucky Numbers in a Matrix,79.9,Easy
1381,Design a Stack With Increment Operation,80.6,Medium
1382,Balance a Binary Search Tree,84.7,Medium
1383,Maximum Performance of a Team,47.7,Hard
1384,Total Sales Amount by Year,60.9,Hard
1385,Find the Distance Value Between Two Arrays,69.1,Easy
1386,Cinema Seat Allocation,42.3,Medium
1387,Sort Integers by The Power Value,70.3,Medium
1388,Pizza With 3n Slices,52.3,Hard
1389,Create Target Array in the Given Order,86.1,Easy
1390,Four Divisors,43.5,Medium
1391,Check if There is a Valid Path in a Grid,48.4,Medium
1392,Longest Happy Prefix,47.0,Hard
1393,Capital Gain/Loss,85.4,Medium
1394,Find Lucky Integer in an Array,68.0,Easy
1395,Count Number of Teams,70.1,Medium
1396,Design Underground System,74.7,Medium
1397,Find All Good Strings,42.8,Hard
1398,Customers Who Bought Products A and B but Not C,72.4,Medium
1399,Count Largest Group,66.5,Easy
1400,Construct K Palindrome Strings,62.2,Medium
1401,Circle and Rectangle Overlapping,47.0,Medium
1402,Reducing Dishes,76.3,Hard
1403,Minimum Subsequence in Non-Increasing Order,72.8,Easy
1404,Number of Steps to Reduce a Number in Binary Representation to One,61.5,Medium
1405,Longest Happy String,57.5,Medium
1406,Stone Game III,63.6,Hard
1407,Top Travellers,57.4,Easy
1408,String Matching in an Array,64.2,Easy
1409,Queries on a Permutation With Key,84.4,Medium
1410,HTML Entity Parser,50.8,Medium
1411,Number of Ways to Paint N × 3 Grid,64.0,Hard
1412,Find the Quiet Students in All Exams,58.7,Hard
1413,Minimum Value to Get Positive Step by Step Sum,65.2,Easy
1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,65.4,Medium
1415,The k-th Lexicographical String of All Happy Strings of Length n,75.2,Medium
1416,Restore The Array,47.3,Hard
1417,Reformat The String,52.5,Easy
1418,Display Table of Food Orders in a Restaurant,75.3,Medium
1419,Minimum Number of Frogs Croaking,50.5,Medium
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,67.9,Hard
1421,NPV Queries,82.9,Easy
1422,Maximum Score After Splitting a String,62.3,Easy
1423,Maximum Points You Can Obtain from Cards,54.1,Medium
1424,Diagonal Traverse II,57.2,Medium
1425,Constrained Subsequence Sum,56.5,Hard
1426,Counting Elements,60.3,Easy
1427,Perform String Shifts,54.9,Easy
1428,Leftmost Column with at Least a One,54.7,Medium
1429,First Unique Number,54.3,Medium
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,47.0,Medium
1431,Kids With the Greatest Number of Candies,87.8,Easy
1432,Max Difference You Can Get From Changing an Integer,41.0,Medium
1433,Check If a String Can Break Another String,70.0,Medium
1434,Number of Ways to Wear Different Hats to Each Other,44.4,Hard
1435,Create a Session Bar Chart,74.9,Easy
1436,Destination City,79.5,Easy
1437,Check If All 1's Are at Least Length K Places Away,58.2,Easy
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.6,Medium
1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows,62.0,Hard
1440,Evaluate Boolean Expression,72.6,Medium
1441,Build an Array With Stack Operations,80.1,Medium
1442,Count Triplets That Can Form Two Arrays of Equal XOR,84.9,Medium
1443,Minimum Time to Collect All Apples in a Tree,62.5,Medium
1444,Number of Ways of Cutting a Pizza,61.9,Hard
1445,Apples & Oranges,86.0,Medium
1446,Consecutive Characters,60.2,Easy
1447,Simplified Fractions,67.5,Medium
1448,Count Good Nodes in Binary Tree,73.1,Medium
1449,Form Largest Integer With Digits That Add up to Target,48.5,Hard
1450,Number of Students Doing Homework at a Given Time,75.8,Easy
1451,Rearrange Words in a Sentence,65.1,Medium
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,58.6,Medium
1453,Maximum Number of Darts Inside of a Circular Dartboard,38.7,Hard
1454,Active Users,36.7,Medium
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.6,Easy
1456,Maximum Number of Vowels in a Substring of Given Length,59.1,Medium
1457,Pseudo-Palindromic Paths in a Binary Tree,68.3,Medium
1458,Max Dot Product of Two Subsequences,62.4,Hard
1459,Rectangles Area,68.5,Medium
1460,Make Two Arrays Equal by Reversing Subarrays,76.0,Easy
1461,Check If a String Contains All Binary Codes of Size K,56.6,Medium
1462,Course Schedule IV,50.3,Medium
1463,Cherry Pickup II,71.9,Hard
1464,Maximum Product of Two Elements in an Array,82.9,Easy
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,41.1,Medium
1466,Reorder Routes to Make All Paths Lead to the City Zero,64.5,Medium
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,60.2,Hard
1468,Calculate Salaries,78.4,Medium
1469,Find All The Lonely Nodes,83.8,Easy
1470,Shuffle the Array,88.7,Easy
1471,The k Strongest Values in an Array,61.5,Medium
1472,Design Browser History,77.7,Medium
1473,Paint House III,61.0,Hard
1474,Delete N Nodes After M Nodes of a Linked List,73.4,Easy
1475,Final Prices With a Special Discount in a Shop,78.7,Easy
1476,Subrectangle Queries,88.2,Medium
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,36.5,Medium
1478,Allocate Mailboxes,55.6,Hard
1479,Sales by Day of the Week,77.5,Hard
1480,Running Sum of 1d Array,86.9,Easy
1481,Least Number of Unique Integers after K Removals,63.2,Medium
1482,Minimum Number of Days to Make m Bouquets,55.5,Medium
1483,Kth Ancestor of a Tree Node,35.1,Hard
1484,Group Sold Products By The Date,77.3,Easy
1485,Clone Binary Tree With Random Pointer,80.7,Medium
1486,XOR Operation in an Array,86.3,Easy
1487,Making File Names Unique,37.4,Medium
1488,Avoid Flood in The City,27.1,Medium
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,67.3,Hard
1490,Clone N-ary Tree,83.1,Medium
1491,Average Salary Excluding the Minimum and Maximum Salary,63.5,Easy
1492,The kth Factor of n,68.6,Medium
1493,Longest Subarray of 1's After Deleting One Element,68.0,Medium
1494,Parallel Courses II,29.6,Hard
1495,Friendly Movies Streamed Last Month,49.0,Easy
1496,Path Crossing,62.5,Easy
1497,Check If Array Pairs Are Divisible by k,46.3,Medium
1498,Number of Subsequences That Satisfy the Given Sum Condition,43.6,Medium
1499,Max Value of Equation,44.1,Hard
1500,Design a File Sharing System,42.6,Medium
1501,Countries You Can Safely Invest In,50.2,Medium
1502,Can Make Arithmetic Progression From Sequence,69.5,Easy
1503,Last Moment Before All Ants Fall Out of a Plank,68.5,Medium
1504,Count Submatrices With All Ones,57.3,Medium
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,40.0,Hard
1506,Find Root of N-Ary Tree,78.4,Medium
1507,Reformat Date,66.8,Easy
1508,Range Sum of Sorted Subarray Sums,63.2,Medium
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,59.3,Medium
1510,Stone Game IV,59.6,Hard
1511,Customer Order Frequency,67.4,Easy
1512,Number of Good Pairs,89.3,Easy
1513,Number of Substrings With Only 1s,47.2,Medium
1514,Path with Maximum Probability,65.5,Medium
1515,Best Position for a Service Centre,34.7,Hard
1516,Move Sub-Tree of N-Ary Tree,61.5,Hard
1517,Find Users With Valid E-Mails,44.0,Easy
1518,Water Bottles,71.0,Easy
1519,Number of Nodes in the Sub-Tree With the Same Label,55.0,Medium
1520,Maximum Number of Non-Overlapping Substrings,39.8,Hard
1521,Find a Value of a Mysterious Function Closest to Target,45.5,Hard
1522,Diameter of N-Ary Tree,74.5,Medium
1523,Count Odd Numbers in an Interval Range,50.0,Easy
1524,Number of Sub-arrays With Odd Sum,43.8,Medium
1525,Number of Good Ways to Split a String,68.3,Medium
1526,Minimum Number of Increments on Subarrays to Form a Target Array,71.7,Hard
1527,Patients With a Condition,40.3,Easy
1528,Shuffle String,84.9,Easy
1529,Minimum Suffix Flips,73.5,Medium
1530,Number of Good Leaf Nodes Pairs,71.9,Medium
1531,String Compression II,52.5,Hard
1532,The Most Recent Three Orders,68.5,Medium
1533,Find the Index of the Large Integer,56.1,Medium
1534,Count Good Triplets,81.5,Easy
1535,Find the Winner of an Array Game,56.9,Medium
1536,Minimum Swaps to Arrange a Binary Grid,47.8,Medium
1537,Get the Maximum Score,39.7,Hard
1538,Guess the Majority in a Hidden Array,70.1,Medium
1539,Kth Missing Positive Number,60.9,Easy
1540,Can Convert String in K Moves,35.6,Medium
1541,Minimum Insertions to Balance a Parentheses String,52.7,Medium
1542,Find Longest Awesome Substring,44.3,Hard
1543,Fix Product Name Format,59.2,Easy
1544,Make The String Great,68.3,Easy
1545,Find Kth Bit in Nth Binary String,59.3,Medium
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,48.0,Medium
1547,Minimum Cost to Cut a Stick,61.7,Hard
1548,The Most Similar Path in a Graph,59.2,Hard
1549,The Most Recent Orders for Each Product,64.8,Medium
1550,Three Consecutive Odds,68.3,Easy
1551,Minimum Operations to Make Array Equal,82.5,Medium
1552,Magnetic Force Between Two Balls,71.1,Medium
1553,Minimum Number of Days to Eat N Oranges,35.5,Hard
1554,Strings Differ by One Character,41.6,Medium
1555,Bank Account Summary,51.4,Medium
1556,Thousand Separator,53.8,Easy
1557,Minimum Number of Vertices to Reach All Nodes,81.0,Medium
1558,Minimum Numbers of Function Calls to Make Target Array,63.5,Medium
1559,Detect Cycles in 2D Grid,49.0,Medium
1560,Most Visited Sector in a Circular Track,59.0,Easy
1561,Maximum Number of Coins You Can Get,84.5,Medium
1562,Find Latest Group of Size M,43.0,Medium
1563,Stone Game V,41.2,Hard
1564,Put Boxes Into the Warehouse I,67.4,Medium
1565,Unique Orders and Customers Per Month,82.1,Easy
1566,Detect Pattern of Length M Repeated K or More Times,43.4,Easy
1567,Maximum Length of Subarray With Positive Product,44.3,Medium
1568,Minimum Number of Days to Disconnect Island,59.7,Hard
1569,Number of Ways to Reorder Array to Get Same BST,53.6,Hard
1570,Dot Product of Two Sparse Vectors,89.9,Medium
1571,Warehouse Manager,87.6,Easy
1572,Matrix Diagonal Sum,83.3,Easy
1573,Number of Ways to Split a String,33.6,Medium
1574,Shortest Subarray to be Removed to Make Array Sorted,38.2,Medium
1575,Count All Possible Routes,65.2,Hard
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,46.0,Easy
1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,41.6,Medium
1578,Minimum Time to Make Rope Colorful,63.7,Medium
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,70.8,Hard
1580,Put Boxes Into the Warehouse II,66.0,Medium
1581,Customer Who Visited but Did Not Make Any Transactions,67.9,Easy
1582,Special Positions in a Binary Matrix,68.7,Easy
1583,Count Unhappy Friends,61.7,Medium
1584,Min Cost to Connect All Points,67.7,Medium
1585,Check If String Is Transformable With Substring Sort Operations,48.8,Hard
1586,Binary Search Tree Iterator II,62.6,Medium
1587,Bank Account Summary II,83.4,Easy
1588,Sum of All Odd Length Subarrays,83.3,Easy
1589,Maximum Sum Obtained of Any Permutation,38.6,Medium
1590,Make Sum Divisible by P,39.7,Medium
1591,Strange Printer II,59.7,Hard
1592,Rearrange Spaces Between Words,43.4,Easy
1593,Split a String Into the Max Number of Unique Substrings,57.1,Medium
1594,Maximum Non Negative Product in a Matrix,34.1,Medium
1595,Minimum Cost to Connect Two Groups of Points,48.9,Hard
1596,The Most Frequently Ordered Products for Each Customer,78.3,Medium
1597,Build Binary Expression Tree From Infix Expression,62.5,Hard
1598,Crawler Log Folder,71.8,Easy
1599,Maximum Profit of Operating a Centennial Wheel,44.4,Medium
1600,Throne Inheritance,65.5,Medium
1601,Maximum Number of Achievable Transfer Requests,64.6,Hard
1602,Find Nearest Right Node in Binary Tree,75.2,Medium
1603,Design Parking System,88.0,Easy
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,46.0,Medium
1605,Find Valid Matrix Given Row and Column Sums,83.1,Medium
1606,Find Servers That Handled Most Number of Requests,43.7,Hard
1607,Sellers With No Sales,54.3,Easy
1608,Special Array With X Elements Greater Than or Equal X,66.9,Easy
1609,Even Odd Tree,66.1,Medium
1610,Maximum Number of Visible Points,37.4,Hard
1611,Minimum One Bit Operations to Make Integers Zero,74.0,Hard
1612,Check If Two Expression Trees are Equivalent,70.7,Medium
1613,Find the Missing IDs,73.0,Medium
1614,Maximum Nesting Depth of the Parentheses,84.0,Easy
1615,Maximal Network Rank,65.2,Medium
1616,Split Two Strings to Make Palindrome,31.1,Medium
1617,Count Subtrees With Max Distance Between Cities,66.5,Hard
1618,Maximum Font to Fit a Sentence in a Screen,61.1,Medium
1619,Mean of Array After Removing Some Elements,69.3,Easy
1620,Coordinate With Maximum Network Quality,38.3,Medium
1621,Number of Sets of K Non-Overlapping Line Segments,44.0,Medium
1622,Fancy Sequence,17.7,Hard
1623,All Valid Triplets That Can Represent a Country,81.8,Easy
1624,Largest Substring Between Two Equal Characters,68.5,Easy
1625,Lexicographically Smallest String After Applying Operations,65.9,Medium
1626,Best Team With No Conflicts,50.4,Medium
1627,Graph Connectivity With Threshold,47.5,Hard
1628,Design an Expression Tree With Evaluate Function,82.5,Medium
1629,Slowest Key,59.2,Easy
1630,Arithmetic Subarrays,83.7,Medium
1631,Path With Minimum Effort,60.4,Medium
1632,Rank Transform of a Matrix,41.0,Hard
1633,Percentage of Users Attended a Contest,58.1,Easy
1634,Add Two Polynomials Represented as Linked Lists,60.5,Medium
1635,Hopper Company Queries I,47.7,Hard
1636,Sort Array by Increasing Frequency,79.9,Easy
1637,Widest Vertical Area Between Two Points Containing No Points,87.4,Easy
1638,Count Substrings That Differ by One Character,71.4,Medium
1639,Number of Ways to Form a Target String Given a Dictionary,50.7,Hard
1640,Check Array Formation Through Concatenation,56.7,Easy
1641,Count Sorted Vowel Strings,78.7,Medium
1642,Furthest Building You Can Reach,49.9,Medium
1643,Kth Smallest Instructions,48.5,Hard
1644,Lowest Common Ancestor of a Binary Tree II,65.3,Medium
1645,Hopper Company Queries II,39.1,Hard
1646,Get Maximum in Generated Array,50.6,Easy
1647,Minimum Deletions to Make Character Frequencies Unique,61.3,Medium
1648,Sell Diminishing-Valued Colored Balls,30.0,Medium
1649,Create Sorted Array through Instructions,39.4,Hard
1650,Lowest Common Ancestor of a Binary Tree III,80.7,Medium
1651,Hopper Company Queries III,65.5,Hard
1652,Defuse the Bomb,67.1,Easy
1653,Minimum Deletions to Make String Balanced,65.8,Medium
1654,Minimum Jumps to Reach Home,29.7,Medium
1655,Distribute Repeating Integers,39.9,Hard
1656,Design an Ordered Stream,84.4,Easy
1657,Determine if Two Strings Are Close,54.4,Medium
1658,Minimum Operations to Reduce X to Zero,39.8,Medium
1659,Maximize Grid Happiness,40.0,Hard
1660,Correct a Binary Tree,74.4,Medium
1661,Average Time of Process per Machine,68.5,Easy
1662,Check If Two String Arrays are Equivalent,85.6,Easy
1663,Smallest String With A Given Numeric Value,66.9,Medium
1664,Ways to Make a Fair Array,63.8,Medium
1665,Minimum Initial Energy to Finish Tasks,58.5,Hard
1666,Change the Root of a Binary Tree,74.3,Medium
1667,Fix Names in a Table,61.4,Easy
1668,Maximum Repeating Substring,39.0,Easy
1669,Merge In Between Linked Lists,81.9,Medium
1670,Design Front Middle Back Queue,56.8,Medium
1671,Minimum Number of Removals to Make Mountain Array,42.3,Hard
1672,Richest Customer Wealth,88.3,Easy
1673,Find the Most Competitive Subsequence,51.0,Medium
1674,Minimum Moves to Make Array Complementary,40.6,Medium
1675,Minimize Deviation in Array,54.0,Hard
1676,Lowest Common Ancestor of a Binary Tree IV,78.5,Medium
1677,Product's Worth Over Invoices,38.3,Easy
1678,Goal Parser Interpretation,87.4,Easy
1679,Max Number of K-Sum Pairs,55.3,Medium
1680,Concatenation of Consecutive Binary Numbers,57.2,Medium
1681,Minimum Incompatibility,39.3,Hard
1682,Longest Palindromic Subsequence II,50.2,Medium
1683,Invalid Tweets,85.6,Easy
1684,Count the Number of Consistent Strings,88.1,Easy
1685,Sum of Absolute Differences in a Sorted Array,68.3,Medium
1686,Stone Game VI,57.9,Medium
1687,Delivering Boxes from Storage to Ports,39.1,Hard
1688,Count of Matches in Tournament,85.7,Easy
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,88.7,Medium
1690,Stone Game VII,58.2,Medium
1691,Maximum Height by Stacking Cuboids,58.7,Hard
1692,Count Ways to Distribute Candies,62.6,Hard
1693,Daily Leads and Partners,86.5,Easy
1694,Reformat Phone Number,66.4,Easy
1695,Maximum Erasure Value,58.6,Medium
1696,Jump Game VI,45.7,Medium
1697,Checking Existence of Edge Length Limited Paths,62.6,Hard
1698,Number of Distinct Substrings in a String,64.6,Medium
1699,Number of Calls Between Two Persons,81.1,Medium
1700,Number of Students Unable to Eat Lunch,78.4,Easy
1701,Average Waiting Time,73.1,Medium
1702,Maximum Binary String After Change,47.0,Medium
1703,Minimum Adjacent Swaps for K Consecutive Ones,42.4,Hard
1704,Determine if String Halves Are Alike,78.7,Easy
1705,Maximum Number of Eaten Apples,39.7,Medium
1706,Where Will the Ball Fall,71.9,Medium
1707,Maximum XOR With an Element From Array,52.2,Hard
1708,Largest Subarray Length K,65.3,Easy
1709,Biggest Window Between Visits,70.3,Medium
1710,Maximum Units on a Truck,73.9,Easy
1711,Count Good Meals,30.8,Medium
1712,Ways to Split Array Into Three Subarrays,33.1,Medium
1713,Minimum Operations to Make a Subsequence,47.8,Hard
1714,Sum Of Special Evenly-Spaced Elements In Array,49.8,Hard
1715,Count Apples and Oranges,75.6,Medium
1716,Calculate Money in Leetcode Bank,78.4,Easy
1717,Maximum Score From Removing Substrings,63.0,Medium
1718,Construct the Lexicographically Largest Valid Sequence,54.3,Medium
1719,Number Of Ways To Reconstruct A Tree,44.3,Hard
1720,Decode XORed Array,86.6,Easy
1721,Swapping Nodes in a Linked List,68.1,Medium
1722,Minimize Hamming Distance After Swap Operations,48.9,Medium
1723,Find Minimum Time to Finish All Jobs,42.8,Hard
1724,Checking Existence of Edge Length Limited Paths II,51.0,Hard
1725,Number Of Rectangles That Can Form The Largest Square,78.9,Easy
1726,Tuple with Same Product,61.3,Medium
1727,Largest Submatrix With Rearrangements,75.3,Medium
1728,Cat and Mouse II,39.9,Hard
1729,Find Followers Count,69.2,Easy
1730,Shortest Path to Get Food,55.2,Medium
1731,The Number of Employees Which Report to Each Employee,50.0,Easy
1732,Find the Highest Altitude,83.6,Easy
1733,Minimum Number of People to Teach,43.2,Medium
1734,Decode XORed Permutation,65.5,Medium
1735,Count Ways to Make Array With Product,52.0,Hard
1736,Latest Time by Replacing Hidden Digits,43.0,Easy
1737,Change Minimum Characters to Satisfy One of Three Conditions,36.9,Medium
1738,Find Kth Largest XOR Coordinate Value,62.3,Medium
1739,Building Boxes,51.8,Hard
1740,Find Distance in a Binary Tree,73.7,Medium
1741,Find Total Time Spent by Each Employee,86.9,Easy
1742,Maximum Number of Balls in a Box,73.7,Easy
1743,Restore the Array From Adjacent Pairs,74.8,Medium
1744,Can You Eat Your Favorite Candy on Your Favorite Day?,34.6,Medium
1745,Palindrome Partitioning IV,44.5,Hard
1746,Maximum Subarray Sum After One Operation,62.3,Medium
1747,Leetflex Banned Accounts,63.0,Medium
1748,Sum of Unique Elements,78.3,Easy
1749,Maximum Absolute Sum of Any Subarray,60.5,Medium
1750,Minimum Length of String After Deleting Similar Ends,55.9,Medium
1751,Maximum Number of Events That Can Be Attended II,61.3,Hard
1752,Check if Array Is Sorted and Rotated,51.7,Easy
1753,Maximum Score From Removing Stones,67.6,Medium
1754,Largest Merge Of Two Strings,49.1,Medium
1755,Closest Subsequence Sum,40.3,Hard
1756,Design Most Recently Used Queue,75.8,Medium
1757,Recyclable and Low Fat Products,89.3,Easy
1758,Minimum Changes To Make Alternating Binary String,63.8,Easy
1759,Count Number of Homogenous Substrings,57.6,Medium
1760,Minimum Limit of Balls in a Bag,60.4,Medium
1761,Minimum Degree of a Connected Trio in a Graph,42.9,Hard
1762,Buildings With an Ocean View,80.0,Medium
1763,Longest Nice Substring,61.1,Easy
1764,Form Array by Concatenating Subarrays of Another Array,53.9,Medium
1765,Map of Highest Peak,63.0,Medium
1766,Tree of Coprimes,41.4,Hard
1767,Find the Subtasks That Did Not Execute,77.6,Hard
1768,Merge Strings Alternately,80.9,Easy
1769,Minimum Number of Operations to Move All Balls to Each Box,86.0,Medium
1770,Maximum Score from Performing Multiplication Operations,41.1,Hard
1771,Maximize Palindrome Length From Subsequences,36.8,Hard
1772,Sort Features by Popularity,65.9,Medium
1773,Count Items Matching a Rule,84.7,Easy
1774,Closest Dessert Cost,47.8,Medium
1775,Equal Sum Arrays With Minimum Number of Operations,53.8,Medium
1776,Car Fleet II,55.7,Hard
1777,Product's Price for Each Store,82.3,Easy
1778,Shortest Path in a Hidden Grid,41.0,Medium
1779,Find Nearest Point That Has the Same X or Y Coordinate,68.9,Easy
1780,Check if Number is a Sum of Powers of Three,68.2,Medium
1781,Sum of Beauty of All Substrings,68.2,Medium
1782,Count Pairs Of Nodes,40.5,Hard
1783,Grand Slam Titles,83.1,Medium
1784,Check if Binary String Has at Most One Segment of Ones,39.2,Easy
1785,Minimum Elements to Add to Form a Given Sum,43.9,Medium
1786,Number of Restricted Paths From First to Last Node,39.4,Medium
1787,Make the XOR of All Segments Equal to Zero,39.8,Hard
1788,Maximize the Beauty of the Garden,65.7,Hard
1789,Primary Department for Each Employee,66.8,Easy
1790,Check if One String Swap Can Make Strings Equal,45.9,Easy
1791,Find Center of Star Graph,86.6,Easy
1792,Maximum Average Pass Ratio,54.3,Medium
1793,Maximum Score of a Good Subarray,64.3,Hard
1794,Count Pairs of Equal Substrings With Minimum Difference,65.0,Medium
1795,Rearrange Products Table,85.4,Easy
1796,Second Largest Digit in a String,50.9,Easy
1797,Design Authentication Manager,57.8,Medium
1798,Maximum Number of Consecutive Values You Can Make,61.3,Medium
1799,Maximize Score After N Operations,57.8,Hard
1800,Maximum Ascending Subarray Sum,62.0,Easy
1801,Number of Orders in the Backlog,50.5,Medium
1802,Maximum Value at a Given Index in a Bounded Array,39.1,Medium
1803,Count Pairs With XOR in a Range,48.1,Hard
1804,Implement Trie II (Prefix Tree),63.1,Medium
1805,Number of Different Integers in a String,38.5,Easy
1806,Minimum Number of Operations to Reinitialize a Permutation,73.0,Medium
1807,Evaluate the Bracket Pairs of a String,67.2,Medium
1808,Maximize Number of Nice Divisors,33.8,Hard
1809,Ad-Free Sessions,58.6,Easy
1810,Minimum Path Cost in a Hidden Grid,57.5,Medium
1811,Find Interview Candidates,60.9,Medium
1812,Determine Color of a Chessboard Square,78.9,Easy
1813,Sentence Similarity III,49.0,Medium
1814,Count Nice Pairs in an Array,48.7,Medium
1815,Maximum Number of Groups Getting Fresh Donuts,40.0,Hard
1816,Truncate Sentence,85.7,Easy
1817,Finding the Users Active Minutes,80.4,Medium
1818,Minimum Absolute Sum Difference,30.9,Medium
1819,Number of Different Subsequences GCDs,41.3,Hard
1820,Maximum Number of Accepted Invitations,51.0,Medium
1821,Find Customers With Positive Revenue this Year,87.7,Easy
1822,Sign of the Product of an Array,65.3,Easy
1823,Find the Winner of the Circular Game,81.8,Medium
1824,Minimum Sideway Jumps,50.4,Medium
1825,Finding MK Average,37.5,Hard
1826,Faulty Sensor,50.4,Easy
